,sector_id,sector_nombre,variable_id,actividad_producto_nombre,indicador,unidad_de_medida,fuente,frecuencia_nombre,cobertura_nombre,alcance_tipo,alcance_id,alcance_nombre,indice_tiempo,valor
101,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2020-06-01,13698.469
102,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2020-07-01,14719.464
103,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2020-08-01,14796.078
104,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2020-09-01,13973.401
105,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2020-10-01,14322.319
106,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2020-11-01,13577.883
107,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2020-12-01,12735.898
108,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-01-01,0.0
109,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-02-01,0.0
110,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-03-01,0.0
111,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-04-01,0.0
112,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-05-01,0.0
113,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-06-01,0.0
114,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-07-01,201.165
115,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-08-01,730.828
116,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-09-01,703.426
117,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-10-01,697.489
118,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-11-01,732.916
119,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2017-12-01,767.384
120,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2018-01-01,547.101
121,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2018-02-01,234.819
122,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2018-03-01,525.7
123,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2018-04-01,681.1
124,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,14,CORDOBA,2018-05-01,643.918
